,tree,expresion,y_predict,mse,isValida
53,"
sin_
    \
    cos______
             \
            __/__
           /     \
          -       -
         / \     / \
        1   X   X   1
",sin(cos(((1-X)/(X-1)))),"[0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, nan]",,False
54,"
   ___________*___________
  /                       \
sin_               ________*_
    \             /          \
    sin_        sin__        sin__
        \            \            \
        cos           **           -
           \         /  \         / \
            1       1    1       X   1
",(sin(sin(cos(1)))*(sin((1**1))*sin((X-1)))),"[0.09057971014492748, 0.051932367149758366, 0.023671497584541006, 0.006280193236714955, 0.0, 0.004589371980676225, 0.02028985507246368, 0.04685990338164245, 0.08405797101449275, 0.13115942028985497, 0.1881642512077294, 0.25386473429951684, 0.32801932367149755, 0.4096618357487922, 0.4975845410628019, 0.591304347826087, 0.6893719806763285, 0.7910628019323672, 0.8949275362318841, 1.0]",,False
55,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
56,"
cos_
    \
    cos_
        \
        cos_
            \
            sin
               \
                X
",cos(cos(cos(sin(X)))),"[0.0, 0.13164893617021306, 0.2746010638297873, 0.4222074468085107, 0.5671542553191493, 0.700132978723404, 0.8151595744680855, 0.9055851063829787, 0.9680851063829785, 1.0, 1.0, 0.9680851063829785, 0.9055851063829787, 0.8151595744680855, 0.700132978723404, 0.5671542553191493, 0.4222074468085107, 0.2746010638297873, 0.13164893617021306, 0.0]",,False
57,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
58,"
cos_
    \
    cos______
             \
           ___**__
          /       \
        sin        **
           \      /  \
            1    X    1
",cos(cos((sin(1)**(X**1)))),"[1.0, 0.9490006891798755, 0.8973121984838041, 0.844245348035837, 0.7911784975878705, 0.7367332873880083, 0.6829772570640935, 0.6285320468642311, 0.5740868366643689, 0.5196416264645074, 0.4651964162646451, 0.41144038594073035, 0.3576843556168156, 0.30461750516884917, 0.2522398345968295, 0.20055134390075818, 0.1488628532046861, 0.09855272226050985, 0.04893177119228115, 0.0]",,False
59,"
sin_
    \
    cos_
        \
        sin__
             \
              -
             / \
            1   X
",sin(cos(sin((1-X)))),"[0.1895444818098442, 0.11128095383674712, 0.05166615713848983, 0.014062977682665997, 0.0, 0.010394374808927145, 0.044328951391012124, 0.1008865790278203, 0.17639865484561318, 0.2671965759706512, 0.3690003057169062, 0.4760012228676247, 0.5830021400183428, 0.6848058697645978, 0.7768266585142157, 0.8553959033934576, 0.9180678691531641, 0.9633139712626108, 0.9908284928156527, 1.0]",,False
60,"
cos_
    \
    sin_
        \
        sin__
             \
              *
             / \
            1   1
",cos(sin(sin((1*1)))),"[0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347]",,False
61,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
62,"
cos_
    \
    cos_
        \
        cos_
            \
            sin
               \
                X
",cos(cos(cos(sin(X)))),"[0.0, 0.13164893617021306, 0.2746010638297873, 0.4222074468085107, 0.5671542553191493, 0.700132978723404, 0.8151595744680855, 0.9055851063829787, 0.9680851063829785, 1.0, 1.0, 0.9680851063829785, 0.9055851063829787, 0.8151595744680855, 0.700132978723404, 0.5671542553191493, 0.4222074468085107, 0.2746010638297873, 0.13164893617021306, 0.0]",,False
63,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
64,"
   ________________-______________
  /                               \
sin______                    ______**_
         \                  /         \
       ___-__            __-_         sin__
      /      \          /    \             \
    cos       **       /     cos            -
       \     /  \     / \       \          / \
        1   1    1   X   X       1        1   1
",(sin((cos(1)-(1**1)))-(((X/X)-cos(1))**sin((1-1)))),"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",,False
65,"
   ___________/_
  /             \
cos_            cos_
    \               \
    cos__           cos__
         \               \
          -               *
         / \             / \
        X   X           X   X
",(cos(cos((X-X)))/cos(cos((X*X)))),"[0.0, 0.20032441200324427, 0.41930251419302517, 0.6242227629088942, 0.7880508245471749, 0.8991619356582861, 0.9618815896188159, 0.9899972965666395, 0.9986482833198164, 1.0, 1.0, 0.9986482833198164, 0.9899972965666395, 0.9618815896188159, 0.8991619356582861, 0.7880508245471749, 0.6242227629088942, 0.41930251419302517, 0.20032441200324427, 0.0]",,False
66,"
sin__________
             \
       _______+______
      /              \
    cos__           __/_
         \         /    \
          +       /     cos
         / \     / \       \
        X   1   1   1       1
",sin((cos((X+1))+((1/1)/cos(1)))),"[0.0, 0.007437552624193057, 0.02960987931518385, 0.06595565534661801, 0.11577322481055287, 0.177659275891103, 0.2502104967723829, 0.33132191973056424, 0.4186079146786416, 0.5091215268032557, 0.5999158012910468, 0.6877631209654786, 0.7692955374684256, 0.8417064271681167, 0.9024698287959586, 0.9494807746281226, 0.9814762840303117, 0.9981756946393491, 1.0, 0.9879315183833849]",,False
67,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
68,"
   ___________/______________
  /                          \
sin_                    ______-_
    \                  /        \
    cos__           __*__       cos__
         \         /     \           \
          -       +       +           **
         / \     / \     / \         /  \
        X   X   X   1   1   1       1    1
",(sin(cos((X-X)))/(((X+1)*(1+1))-cos((1**1)))),"[np.float64(0.337873956240438), np.float64(0.27678752465392337), np.float64(0.0), np.float64(1.0), np.float64(0.6048736428821588), np.float64(0.5344786271220807), np.float64(0.5050905359655428), np.float64(0.48895565673136593), np.float64(0.478762296240315), np.float64(0.47173938422026007), np.float64(0.4666027661548481), np.float64(0.46268271552598106), np.float64(0.4595982869747408), np.float64(0.4571037093018254), np.float64(0.4550453755076711), np.float64(0.4533188328325745), np.float64(0.4518442056367624), np.float64(0.4505784839603571), np.float64(0.44947865784348057), np.float64(0.4485078616062376)]",,False
69,"
   ___________*___________
  /                       \
sin_               ________*_
    \             /          \
    sin_        sin__        sin__
        \            \            \
        cos           **           -
           \         /  \         / \
            1       1    1       X   1
",(sin(sin(cos(1)))*(sin((1**1))*sin((X-1)))),"[0.09057971014492748, 0.051932367149758366, 0.023671497584541006, 0.006280193236714955, 0.0, 0.004589371980676225, 0.02028985507246368, 0.04685990338164245, 0.08405797101449275, 0.13115942028985497, 0.1881642512077294, 0.25386473429951684, 0.32801932367149755, 0.4096618357487922, 0.4975845410628019, 0.591304347826087, 0.6893719806763285, 0.7910628019323672, 0.8949275362318841, 1.0]",,False
70,"
sin__________
             \
       _______+______
      /              \
    cos__           __/_
         \         /    \
          +       /     cos
         / \     / \       \
        X   1   1   1       1
",sin((cos((X+1))+((1/1)/cos(1)))),"[0.0, 0.007437552624193057, 0.02960987931518385, 0.06595565534661801, 0.11577322481055287, 0.177659275891103, 0.2502104967723829, 0.33132191973056424, 0.4186079146786416, 0.5091215268032557, 0.5999158012910468, 0.6877631209654786, 0.7692955374684256, 0.8417064271681167, 0.9024698287959586, 0.9494807746281226, 0.9814762840303117, 0.9981756946393491, 1.0, 0.9879315183833849]",,False
71,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
72,"
cos_
    \
    cos_
        \
        cos_
            \
            sin
               \
                X
",cos(cos(cos(sin(X)))),"[0.0, 0.13164893617021306, 0.2746010638297873, 0.4222074468085107, 0.5671542553191493, 0.700132978723404, 0.8151595744680855, 0.9055851063829787, 0.9680851063829785, 1.0, 1.0, 0.9680851063829785, 0.9055851063829787, 0.8151595744680855, 0.700132978723404, 0.5671542553191493, 0.4222074468085107, 0.2746010638297873, 0.13164893617021306, 0.0]",,False
73,"
cos_
    \
    sin_
        \
        sin__
             \
              *
             / \
            1   1
",cos(sin(sin((1*1)))),"[0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347, 0.7347]",,False
74,"
   _______________/______________
  /                              \
sin______                   ______+_
         \                 /        \
        __*__          ___*_        cos_
       /     \        /     \           \
      -       *     cos     sin         cos
     / \     / \       \       \           \
    X   X   1   X       X       1           X
",(sin(((X-X)*(1*X)))/((cos(X)*sin(1))+cos(cos(X)))),"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,False
75,"
sin__________
             \
       _______+______
      /              \
    cos__           __/_
         \         /    \
          +       /     cos
         / \     / \       \
        X   1   1   1       1
",sin((cos((X+1))+((1/1)/cos(1)))),"[0.0, 0.007437552624193057, 0.02960987931518385, 0.06595565534661801, 0.11577322481055287, 0.177659275891103, 0.2502104967723829, 0.33132191973056424, 0.4186079146786416, 0.5091215268032557, 0.5999158012910468, 0.6877631209654786, 0.7692955374684256, 0.8417064271681167, 0.9024698287959586, 0.9494807746281226, 0.9814762840303117, 0.9981756946393491, 1.0, 0.9879315183833849]",,False
76,"
   ___________/______________
  /                          \
sin_                    ______-_
    \                  /        \
    cos__           __*__       cos__
         \         /     \           \
          -       +       +           **
         / \     / \     / \         /  \
        X   X   X   1   1   1       1    1
",(sin(cos((X-X)))/(((X+1)*(1+1))-cos((1**1)))),"[np.float64(0.337873956240438), np.float64(0.27678752465392337), np.float64(0.0), np.float64(1.0), np.float64(0.6048736428821588), np.float64(0.5344786271220807), np.float64(0.5050905359655428), np.float64(0.48895565673136593), np.float64(0.478762296240315), np.float64(0.47173938422026007), np.float64(0.4666027661548481), np.float64(0.46268271552598106), np.float64(0.4595982869747408), np.float64(0.4571037093018254), np.float64(0.4550453755076711), np.float64(0.4533188328325745), np.float64(0.4518442056367624), np.float64(0.4505784839603571), np.float64(0.44947865784348057), np.float64(0.4485078616062376)]",,False
77,"
sin_
    \
    cos_
        \
        sin__
             \
              -
             / \
            1   X
",sin(cos(sin((1-X)))),"[0.1895444818098442, 0.11128095383674712, 0.05166615713848983, 0.014062977682665997, 0.0, 0.010394374808927145, 0.044328951391012124, 0.1008865790278203, 0.17639865484561318, 0.2671965759706512, 0.3690003057169062, 0.4760012228676247, 0.5830021400183428, 0.6848058697645978, 0.7768266585142157, 0.8553959033934576, 0.9180678691531641, 0.9633139712626108, 0.9908284928156527, 1.0]",,False
78,"
cos_
    \
    cos______
             \
           ___-_
          /     \
        sin     cos
           \       \
            X       1
",cos(cos((sin(X)-cos(1)))),"[1.0, 0.9705948880343813, 0.9285229586066499, 0.8717484731961093, 0.799819045464827, 0.7140918344266002, 0.6170549649400588, 0.5132323003845283, 0.4073738973083013, 0.3055869712734675, 0.21307396516625185, 0.13458493553494683, 0.07328658674508025, 0.030762270979416296, 0.006785795068988922, 0.0, 0.007916760913820283, 0.027143180275955688, 0.05383397421397883, 0.08437005202442885]",,False
79,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
80,"
cos_
    \
    cos______
             \
           ___-_
          /     \
        sin     cos
           \       \
            X       1
",cos(cos((sin(X)-cos(1)))),"[1.0, 0.9705948880343813, 0.9285229586066499, 0.8717484731961093, 0.799819045464827, 0.7140918344266002, 0.6170549649400588, 0.5132323003845283, 0.4073738973083013, 0.3055869712734675, 0.21307396516625185, 0.13458493553494683, 0.07328658674508025, 0.030762270979416296, 0.006785795068988922, 0.0, 0.007916760913820283, 0.027143180275955688, 0.05383397421397883, 0.08437005202442885]",,False
81,"
   ___________/_
  /             \
cos_            cos_
    \               \
    cos__           cos__
         \               \
          -               *
         / \             / \
        X   X           X   X
",(cos(cos((X-X)))/cos(cos((X*X)))),"[0.0, 0.20032441200324427, 0.41930251419302517, 0.6242227629088942, 0.7880508245471749, 0.8991619356582861, 0.9618815896188159, 0.9899972965666395, 0.9986482833198164, 1.0, 1.0, 0.9986482833198164, 0.9899972965666395, 0.9618815896188159, 0.8991619356582861, 0.7880508245471749, 0.6242227629088942, 0.41930251419302517, 0.20032441200324427, 0.0]",,False
82,"
cos_
    \
    cos______
             \
           ___**__
          /       \
        sin        **
           \      /  \
            1    X    1
",cos(cos((sin(1)**(X**1)))),"[1.0, 0.9490006891798755, 0.8973121984838041, 0.844245348035837, 0.7911784975878705, 0.7367332873880083, 0.6829772570640935, 0.6285320468642311, 0.5740868366643689, 0.5196416264645074, 0.4651964162646451, 0.41144038594073035, 0.3576843556168156, 0.30461750516884917, 0.2522398345968295, 0.20055134390075818, 0.1488628532046861, 0.09855272226050985, 0.04893177119228115, 0.0]",,False
83,"
   ________________-______________
  /                               \
sin______                    ______**_
         \                  /         \
       ___-__            __-_         sin__
      /      \          /    \             \
    cos       **       /     cos            -
       \     /  \     / \       \          / \
        1   1    1   X   X       1        1   1
",(sin((cos(1)-(1**1)))-(((X/X)-cos(1))**sin((1-1)))),"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",,False
84,"
cos_
    \
    cos______
             \
           ___**__
          /       \
        sin        **
           \      /  \
            1    X    1
",cos(cos((sin(1)**(X**1)))),"[1.0, 0.9490006891798755, 0.8973121984838041, 0.844245348035837, 0.7911784975878705, 0.7367332873880083, 0.6829772570640935, 0.6285320468642311, 0.5740868366643689, 0.5196416264645074, 0.4651964162646451, 0.41144038594073035, 0.3576843556168156, 0.30461750516884917, 0.2522398345968295, 0.20055134390075818, 0.1488628532046861, 0.09855272226050985, 0.04893177119228115, 0.0]",,False
85,"
cos_
    \
    sin_
        \
        cos_
            \
            cos
               \
                1
",cos(sin(cos(cos(1)))),"[0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274, 0.7274]",,False
86,"
cos_
    \
    cos______
             \
           ___**__
          /       \
        sin        **
           \      /  \
            1    X    1
",cos(cos((sin(1)**(X**1)))),"[1.0, 0.9490006891798755, 0.8973121984838041, 0.844245348035837, 0.7911784975878705, 0.7367332873880083, 0.6829772570640935, 0.6285320468642311, 0.5740868366643689, 0.5196416264645074, 0.4651964162646451, 0.41144038594073035, 0.3576843556168156, 0.30461750516884917, 0.2522398345968295, 0.20055134390075818, 0.1488628532046861, 0.09855272226050985, 0.04893177119228115, 0.0]",,False
87,"
sin__________
             \
       _______+______
      /              \
    cos__           __/_
         \         /    \
          +       /     cos
         / \     / \       \
        X   1   1   1       1
",sin((cos((X+1))+((1/1)/cos(1)))),"[0.0, 0.007437552624193057, 0.02960987931518385, 0.06595565534661801, 0.11577322481055287, 0.177659275891103, 0.2502104967723829, 0.33132191973056424, 0.4186079146786416, 0.5091215268032557, 0.5999158012910468, 0.6877631209654786, 0.7692955374684256, 0.8417064271681167, 0.9024698287959586, 0.9494807746281226, 0.9814762840303117, 0.9981756946393491, 1.0, 0.9879315183833849]",,False
88,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
89,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
90,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
91,"
   _______________/______________
  /                              \
sin______                   ______+_
         \                 /        \
        __*__          ___*_        cos_
       /     \        /     \           \
      -       *     cos     sin         cos
     / \     / \       \       \           \
    X   X   1   X       X       1           X
",(sin(((X-X)*(1*X)))/((cos(X)*sin(1))+cos(cos(X)))),"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,False
92,"
cos_
    \
    cos_
        \
        cos_
            \
            sin
               \
                X
",cos(cos(cos(sin(X)))),"[0.0, 0.13164893617021306, 0.2746010638297873, 0.4222074468085107, 0.5671542553191493, 0.700132978723404, 0.8151595744680855, 0.9055851063829787, 0.9680851063829785, 1.0, 1.0, 0.9680851063829785, 0.9055851063829787, 0.8151595744680855, 0.700132978723404, 0.5671542553191493, 0.4222074468085107, 0.2746010638297873, 0.13164893617021306, 0.0]",,False
93,"
   ___________/______________
  /                          \
sin_                    ______-_
    \                  /        \
    cos__           __*__       cos__
         \         /     \           \
          -       +       +           **
         / \     / \     / \         /  \
        X   X   X   1   1   1       1    1
",(sin(cos((X-X)))/(((X+1)*(1+1))-cos((1**1)))),"[np.float64(0.337873956240438), np.float64(0.27678752465392337), np.float64(0.0), np.float64(1.0), np.float64(0.6048736428821588), np.float64(0.5344786271220807), np.float64(0.5050905359655428), np.float64(0.48895565673136593), np.float64(0.478762296240315), np.float64(0.47173938422026007), np.float64(0.4666027661548481), np.float64(0.46268271552598106), np.float64(0.4595982869747408), np.float64(0.4571037093018254), np.float64(0.4550453755076711), np.float64(0.4533188328325745), np.float64(0.4518442056367624), np.float64(0.4505784839603571), np.float64(0.44947865784348057), np.float64(0.4485078616062376)]",,False
94,"
cos_
    \
    cos______
             \
           ___**__
          /       \
        sin        **
           \      /  \
            1    X    1
",cos(cos((sin(1)**(X**1)))),"[1.0, 0.9490006891798755, 0.8973121984838041, 0.844245348035837, 0.7911784975878705, 0.7367332873880083, 0.6829772570640935, 0.6285320468642311, 0.5740868366643689, 0.5196416264645074, 0.4651964162646451, 0.41144038594073035, 0.3576843556168156, 0.30461750516884917, 0.2522398345968295, 0.20055134390075818, 0.1488628532046861, 0.09855272226050985, 0.04893177119228115, 0.0]",,False
95,"
cos_
    \
    cos______
             \
           ___-_
          /     \
        sin     cos
           \       \
            X       1
",cos(cos((sin(X)-cos(1)))),"[1.0, 0.9705948880343813, 0.9285229586066499, 0.8717484731961093, 0.799819045464827, 0.7140918344266002, 0.6170549649400588, 0.5132323003845283, 0.4073738973083013, 0.3055869712734675, 0.21307396516625185, 0.13458493553494683, 0.07328658674508025, 0.030762270979416296, 0.006785795068988922, 0.0, 0.007916760913820283, 0.027143180275955688, 0.05383397421397883, 0.08437005202442885]",,False
96,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
97,"
cos_
    \
    sin_
        \
        cos_
            \
            cos
               \
                X
",cos(sin(cos(cos(X)))),"[0.0, 0.1492641906096706, 0.30553608969866847, 0.45900490539593575, 0.603363700070077, 0.7302032235459005, 0.8367203924316748, 0.9180098107918715, 0.9726699369306235, 1.0, 1.0, 0.9726699369306235, 0.9180098107918715, 0.8367203924316748, 0.7302032235459005, 0.603363700070077, 0.45900490539593575, 0.30553608969866847, 0.1492641906096706, 0.0]",,False
98,"
sin_
    \
    cos______
             \
            __/__
           /     \
          -       -
         / \     / \
        1   X   X   1
",sin(cos(((1-X)/(X-1)))),"[0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, 0.5144, nan]",,False
99,"
cos__________
             \
       _______/_
      /         \
    cos_        sin__
        \            \
        sin           **
           \         /  \
            1       1    1
",cos((cos(sin(1))/sin((1**1)))),"[0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025, 0.7025]",,False
